N,bin_i,bin_j,c2_mean,c2_err,n_pairs_mean,n_valid_events,c2_approx,c2_exact,mean_p1_sq,mean_p2_sq,bin_i_mean_count,bin_j_mean_count,sqrt_c2,bin_pair
50,low,low,0.00029715974449828937,0.00031845630699791407,165.491525,80000,3.9188448645786915e-05,3.92275102303978e-05,0.15935530967768197,0.15935530967768197,12.9933875,12.9933875,0.01723832197455104,low_low
50,low,mid,1.0126032544236407e-05,0.00021550482693193112,149.1935875,80000,9.986704518405388e-05,0.00010003556774034519,0.15935530967768197,0.4060978288715925,12.9933875,11.719425,0.003182142759876811,low_mid
50,low,high,0.00033235298901987685,0.0002693070864476812,103.43239357379508,79985,0.0003148010870623133,0.00032461808768896117,0.15935530967768197,1.280102337531012,12.9933875,8.12405,0.01823055097960226,low_high
50,mid,low,1.0126032544236407e-05,0.00021550482693193112,149.1935875,80000,9.986704518405388e-05,0.00010003556774034517,0.4060978288715925,0.15935530967768197,11.719425,12.9933875,0.003182142759876811,mid_low
50,mid,mid,0.0007174532739146584,0.0003651682689773059,134.59876496912423,79998,0.0002544991460096007,0.0002550746540733262,0.4060978288715925,0.4060978288715925,11.719425,11.719425,0.02678531825300305,mid_mid
50,mid,high,0.001674864373923624,0.00028512378235162996,93.30426955054072,79985,0.0008022326851925841,0.0008274664193554067,0.4060978288715925,1.280102337531012,11.719425,8.12405,0.040925106889580926,mid_high
50,high,low,0.00033235298901987685,0.0002693070864476812,103.43239357379508,79985,0.0003148010870623133,0.0003246180876889612,1.280102337531012,0.15935530967768197,8.12405,12.9933875,0.01823055097960226,high_low
50,high,mid,0.001674864373923624,0.00028512378235162996,93.30426955054072,79985,0.0008022326851925841,0.0008274664193554071,1.280102337531012,0.4060978288715925,8.12405,11.719425,0.040925106889580926,high_mid
50,high,high,0.003768078199151296,0.0006168630774584719,64.96837123109286,79864,0.0025287993743091995,0.0026829845630656915,1.280102337531012,1.280102337531012,8.12405,8.12405,0.06138467397609355,high_high
60,low,low,-0.0002922560500079395,0.0002568824055261582,238.5872,80000,2.6847121643591053e-05,2.686728458626877e-05,0.15937607400435796,0.15937607400435796,15.5752875,15.5752875,0.017095497945597827,low_low
60,low,mid,0.00011524620475258578,0.00017678846927396942,215.3919125,80000,6.83855835914343e-05,6.851690097225098e-05,0.15937607400435796,0.40596626990370327,15.5752875,14.0660625,0.01073527851304221,low_mid
60,low,high,1.3000300986127136e-05,0.00021889164865389148,150.34664183302291,79999,0.0002168775357540634,0.00022235298933757566,0.15937607400435796,1.2874784361277618,15.5752875,9.8181375,0.003605593014488343,low_high
60,mid,low,0.00011524620475258578,0.00017678846927396942,215.3919125,80000,6.83855835914343e-05,6.8516900972251e-05,0.40596626990370327,0.15937607400435796,14.0660625,15.5752875,0.01073527851304221,mid_low
60,mid,mid,0.00014626439993131735,0.0002906367687176237,194.674675,80000,0.00017419327498959065,0.00017471766998052463,0.40596626990370327,0.40596626990370327,14.0660625,14.0660625,0.012093981971679855,mid_mid
60,mid,high,0.0006696265460175802,0.00023161606039239334,135.77810972637158,79999,0.0005524352683802255,0.0005668778154030486,0.40596626990370327,1.2874784361277618,14.0660625,9.8181375,0.025877143312537036,mid_high
60,high,low,1.3000300986127136e-05,0.00021889164865389148,150.34664183302291,79999,0.0002168775357540634,0.0002223529893375756,1.2874784361277618,0.15937607400435796,9.8181375,15.5752875,0.003605593014488343,high_low
60,high,mid,0.0006696265460175802,0.00023161606039239334,135.77810972637158,79999,0.0005524352683802255,0.0005668778154030484,1.2874784361277618,0.40596626990370327,9.8181375,14.0660625,0.025877143312537036,high_mid
60,high,high,0.0029993600172123405,0.00047656125139230456,94.9655767427321,79975,0.0017519891383210328,0.0018386295343972242,1.2874784361277618,1.2874784361277618,9.8181375,9.8181375,0.054766413222086585,high_high
70,low,low,-3.6491230921924744e-05,0.00021533301309656423,323.0503,80000,1.9541897995238958e-05,1.9546356385340214e-05,0.15941843790104163,0.15941843790104163,18.102775,18.102775,0.0060407972091376105,low_low
70,low,mid,6.55795547019351e-05,0.00015064300412793595,293.2242625,80000,4.976565893278767e-05,4.984777909816758e-05,0.15941843790104163,0.40597712720196893,18.102775,16.4302375,0.00809812044254314,low_mid
70,low,high,0.00012032222894067109,0.00018429942529698648,206.0105,80000,0.0001584550130161487,0.00016177338056246952,0.15941843790104163,1.2926405950321693,18.102775,11.5516125,0.010969148961549893,low_high
70,mid,low,6.55795547019351e-05,0.00015064300412793595,293.2242625,80000,4.976565893278767e-05,4.9847779098167585e-05,0.40597712720196893,0.15941843790104163,16.4302375,18.102775,0.00809812044254314,mid_low
70,mid,mid,-3.419670134232544e-05,0.00024317567236266976,266.0734,80000,0.00012673389297282865,0.00012711607726966702,0.40597712720196893,0.40597712720196893,16.4302375,16.4302375,0.00584779457080406,mid_mid
70,mid,high,0.00047318962093844286,0.0001943674449165809,187.0977875,80000,0.00040352365649811903,0.00041247186337385876,0.40597712720196893,1.2926405950321693,16.4302375,11.5516125,0.021752922124129503,mid_high
70,high,low,0.00012032222894067109,0.00018429942529698648,206.0105,80000,0.0001584550130161487,0.00016177338056246954,1.2926405950321693,0.15941843790104163,11.5516125,18.102775,0.010969148961549893,high_low
70,high,mid,0.00047318962093844286,0.0001943674449165809,187.0977875,80000,0.00040352365649811903,0.0004124718633738587,1.2926405950321693,0.40597712720196893,11.5516125,16.4302375,0.021752922124129503,high_mid
70,high,high,0.0017196200545977203,0.0003802745388663491,131.74088056604245,79994,0.0012848286873703351,0.001338074900075162,1.2926405950321693,1.2926405950321693,11.5516125,11.5516125,0.04146830180508626,high_high
80,low,low,-0.00014151003504705577,0.00018699429972863054,422.1826,80000,1.485373697627764e-05,1.4855829832538826e-05,0.15942584697448867,0.15942584697448867,20.674925,20.674925,0.011895799050381432,low_low
80,low,mid,-9.690435665404154e-05,0.00013064157157554546,382.9360875,80000,3.785012212046187e-05,3.7886178626638515e-05,0.15942584697448867,0.4062471138932648,20.674925,18.755175,0.009844001049067474,low_mid
80,low,high,0.00046214260653213265,0.00015887941053794395,270.611825,80000,0.00012073127355653869,0.0001229567267149446,0.15942584697448867,1.2958143512167775,20.674925,13.2605625,0.021497502332413702,low_high
80,mid,low,-9.690435665404154e-05,0.00013064157157554546,382.9360875,80000,3.785012212046187e-05,3.788617862663852e-05,0.4062471138932648,0.15942584697448867,18.755175,20.674925,0.009844001049067474,mid_low
80,mid,mid,-0.00019665004420485883,0.00020761188472134197,347.3747,80000,9.644924686776668e-05,9.661519510490144e-05,0.4062471138932648,0.4062471138932648,18.755175,18.755175,0.014023196647157838,mid_mid
80,mid,high,0.00013257641180522626,0.00016773489766552698,245.5984875,80000,0.000307646045919082,0.00031352031952944974,0.4062471138932648,1.2958143512167775,18.755175,13.2605625,0.011514183071552504,mid_high
80,high,low,0.00046214260653213265,0.00015887941053794395,270.611825,80000,0.00012073127355653869,0.0001229567267149446,1.2958143512167775,0.15942584697448867,13.2605625,20.674925,0.021497502332413702,high_low
80,high,mid,0.00013257641180522626,0.00016773489766552698,245.5984875,80000,0.000307646045919082,0.0003135203195294498,1.2958143512167775,0.4062471138932648,13.2605625,18.755175,0.011514183071552504,high_mid
