N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
30,high,high,2,2,0.0124654095874651,0.001223607842235,0.0078570413195965,1.0856939815468427,1.2527064775778156,1.5563915338194676,2.108441539627536,4.697975,1.0856939815468427,1.2527064775778156,1.5563915338194676,2.108441539627536,4.697975,1.178731421567036,1.5692735189654183,0.375,0.0333333333333333,19.5746375,76514
32,low,low,0,0,0.0005449077964888,0.000565474563276,0.000100414935906,0.3949786648229862,0.1592993875707224,0.0655392390416911,0.0274697597022547,8.369325,0.3949786648229862,0.1592993875707224,0.0655392390416911,0.0274697597022547,8.369325,0.1560081456653488,0.0253762948804072,0.375,0.03125,20.8969625,79952
32,low,mid,0,1,0.0001142056028433,0.0003512237378014,0.0002560420697848,0.3949786648229862,0.1592993875707224,0.0655392390416911,0.0274697597022547,8.369325,0.6312443604939864,0.4056900094964513,0.2653662431710883,0.1765464753713487,7.4898875,0.2493280546849545,0.0646261700563452,0.375,0.03125,20.8969625,79980
32,low,high,0,2,0.0017356777155025,0.0004571825836689,0.0008306079157545,0.3949786648229862,0.1592993875707224,0.0655392390416911,0.0274697597022547,8.369325,1.0860998458119466,1.2537272371256285,1.5586661835553302,2.1137389957868176,5.03775,0.4289862669632538,0.1997179810548464,0.375,0.03125,20.8969625,79630
32,mid,low,1,0,0.0001142056028433,0.0003512237378014,0.0002560420697848,0.6312443604939864,0.4056900094964513,0.2653662431710883,0.1765464753713487,7.4898875,0.3949786648229862,0.1592993875707224,0.0655392390416911,0.0274697597022547,8.369325,0.2493280546849545,0.0646261700563452,0.375,0.03125,20.8969625,79980
32,mid,mid,1,1,0.0014413324239669,0.00066393962802,0.0006526709440711,0.6312443604939864,0.4056900094964513,0.2653662431710883,0.1765464753713487,7.4898875,0.6312443604939864,0.4056900094964513,0.2653662431710883,0.1765464753713487,7.4898875,0.3984694426554618,0.1645843838052307,0.375,0.03125,20.8969625,79819
32,mid,high,1,2,0.0031210808792248,0.0004863716423148,0.0021155994189383,0.6312443604939864,0.4056900094964513,0.2653662431710883,0.1765464753713487,7.4898875,1.0860998458119466,1.2537272371256285,1.5586661835553302,2.1137389957868176,5.03775,0.6855944026021794,0.508624614735456,0.375,0.03125,20.8969625,79616
32,high,low,2,0,0.0017356777155025,0.0004571825836689,0.0008306079157545,1.0860998458119466,1.2537272371256285,1.5586661835553302,2.1137389957868176,5.03775,0.3949786648229862,0.1592993875707224,0.0655392390416911,0.0274697597022547,8.369325,0.4289862669632538,0.1997179810548464,0.375,0.03125,20.8969625,79630
32,high,mid,2,1,0.0031210808792248,0.0004863716423148,0.0021155994189383,1.0860998458119466,1.2537272371256285,1.5586661835553302,2.1137389957868176,5.03775,0.6312443604939864,0.4056900094964513,0.2653662431710883,0.1765464753713487,7.4898875,0.6855944026021794,0.508624614735456,0.375,0.03125,20.8969625,79616
32,high,high,2,2,0.0112325461017865,0.0011411026265162,0.0068490332539562,1.0860998458119466,1.2537272371256285,1.5586661835553302,2.1137389957868176,5.03775,1.0860998458119466,1.2537272371256285,1.5586661835553302,2.1137389957868176,5.03775,1.1796128750727342,1.571831985110662,0.375,0.03125,20.8969625,77420
