T,N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
0.15,6,high,high,2,2,0.5133775886356132,0.04412585183043664,0.8902466031719529,0.9091115886317426,0.8384754923570096,0.7869346463425675,0.7544794461223449,0.04572916666666667,0.9091115886317426,0.8384754923570096,0.7869346463425675,0.7544794461223449,0.04572916666666667,0.8264838805845307,0.7030411512833297,0.135,0.16666666666666666,1.8775,162
0.15,7,low,low,0,0,0.06517815936335042,0.0042185377300336235,0.024776585883038802,0.38234944247099045,0.14929172045751543,0.05951641728210223,0.0242082820313694,1.6362239583333333,0.38234944247099045,0.14929172045751543,0.05951641728210223,0.0242082820313694,1.6362239583333333,0.14619109615787723,0.02228801779716493,0.135,0.14285714285714285,2.29359375,19842
0.15,7,low,mid,0,1,0.13513250608505478,0.004526026249969947,0.05944890584280031,0.38234944247099045,0.14929172045751543,0.05951641728210223,0.0242082820313694,1.6362239583333333,0.6000455338931636,0.36606310707088185,0.2271979464601015,0.1435093155466823,0.58625,0.22942707534125892,0.054650191050635635,0.135,0.14285714285714285,2.29359375,13941
0.15,7,low,high,0,2,0.17568511257133587,0.011643928935667331,0.13770484080261614,0.38234944247099045,0.14929172045751543,0.05951641728210223,0.0242082820313694,1.6362239583333333,0.9184642021533941,0.8569284506318466,0.8145393855687465,0.7915453463573636,0.07111979166666667,0.3511742756229133,0.12793232270382146,0.135,0.14285714285714285,2.29359375,2094
0.15,7,mid,low,1,0,0.13513250608505478,0.004526026249969947,0.059448905842800326,0.6000455338931636,0.36606310707088185,0.2271979464601015,0.1435093155466823,0.58625,0.38234944247099045,0.14929172045751543,0.05951641728210223,0.0242082820313694,1.6362239583333333,0.22942707534125892,0.054650191050635635,0.135,0.14285714285714285,2.29359375,13941
0.15,7,mid,mid,1,1,0.24281245133364973,0.008908024480049188,0.1343767415213874,0.6000455338931636,0.36606310707088185,0.2271979464601015,0.1435093155466823,0.58625,0.6000455338931636,0.36606310707088185,0.2271979464601015,0.1435093155466823,0.58625,0.36005464274513177,0.13400219835838792,0.135,0.14285714285714285,2.29359375,5086
0.15,7,mid,high,1,2,0.34748154830904016,0.01438235813814669,0.2794545800686205,0.6000455338931636,0.36606310707088185,0.2271979464601015,0.1435093155466823,0.58625,0.9184642021533941,0.8569284506318466,0.8145393855687465,0.7915453463573636,0.07111979166666667,0.5511203425428919,0.3136898911757306,0.135,0.14285714285714285,2.29359375,1598
0.15,7,high,low,2,0,0.17568511257133587,0.011643928935667331,0.13770484080261614,0.9184642021533941,0.8569284506318466,0.8145393855687465,0.7915453463573636,0.07111979166666667,0.38234944247099045,0.14929172045751543,0.05951641728210223,0.0242082820313694,1.6362239583333333,0.3511742756229133,0.12793232270382146,0.135,0.14285714285714285,2.29359375,2094
0.15,7,high,mid,2,1,0.34748154830904016,0.01438235813814669,0.27945458006862045,0.9184642021533941,0.8569284506318466,0.8145393855687465,0.7915453463573636,0.07111979166666667,0.6000455338931636,0.36606310707088185,0.2271979464601015,0.1435093155466823,0.58625,0.5511203425428919,0.3136898911757306,0.135,0.14285714285714285,2.29359375,1598
0.15,7,high,high,2,2,0.5366297433152795,0.03493381907047443,0.5558083548569236,0.9184642021533941,0.8569284506318466,0.8145393855687465,0.7915453463573636,0.07111979166666667,0.9184642021533941,0.8569284506318466,0.8145393855687465,0.7915453463573636,0.07111979166666667,0.8435764906372708,0.7343263695022972,0.135,0.14285714285714285,2.29359375,225
0.15,8,low,low,0,0,0.03923456475859713,0.0037338736837498904,0.01736531236385017,0.38277485307679915,0.14962599817358052,0.05971603263085225,0.02431566578455423,1.9094791666666666,0.38277485307679915,0.14962599817358052,0.05971603263085225,0.02431566578455423,1.9094791666666666,0.14651658814796517,0.02238793932944032,0.135,0.125,2.7205208333333335,23262
0.15,8,low,mid,0,1,0.09881703849516578,0.0038776569607507478,0.04221810836655638,0.38277485307679915,0.14962599817358052,0.05971603263085225,0.02431566578455423,1.9094791666666666,0.6022086914800477,0.3687313777060045,0.2297005674715482,0.14562501752813906,0.7176302083333334,0.23051034340284673,0.05517180044718046,0.135,0.125,2.7205208333333335,17074
0.15,8,low,high,0,2,0.1284129722900613,0.010020827658843651,0.10045406612858637,0.38277485307679915,0.14962599817358052,0.05971603263085225,0.02431566578455423,1.9094791666666666,0.9261091854724169,0.8723421673167713,0.8383252198565578,0.8249531294119186,0.09341145833333334,0.3544913074022785,0.1305250675336765,0.135,0.125,2.7205208333333335,2906
0.15,8,mid,low,1,0,0.09881703849516578,0.0038776569607507478,0.04221810836655638,0.6022086914800477,0.3687313777060045,0.2297005674715482,0.14562501752813906,0.7176302083333334,0.38277485307679915,0.14962599817358052,0.05971603263085225,0.02431566578455423,1.9094791666666666,0.23051034340284673,0.05517180044718046,0.135,0.125,2.7205208333333335,17074
0.15,8,mid,mid,1,1,0.18091113062495034,0.007849977490825014,0.09823588807625562,0.6022086914800477,0.3687313777060045,0.2297005674715482,0.14562501752813906,0.7176302083333334,0.6022086914800477,0.3687313777060045,0.2297005674715482,0.14562501752813906,0.7176302083333334,0.36265530809411134,0.13596282890496816,0.135,0.125,2.7205208333333335,6620
0.15,8,mid,high,1,2,0.30093809975241925,0.012315124884700039,0.21466583597343492,0.6022086914800477,0.3687313777060045,0.2297005674715482,0.14562501752813906,0.7176302083333334,0.9261091854724169,0.8723421673167713,0.8383252198565578,0.8249531294119186,0.09341145833333334,0.557711000750997,0.321659929185755,0.135,0.125,2.7205208333333335,2168
0.15,8,high,low,2,0,0.1284129722900613,0.010020827658843651,0.10045406612858636,0.9261091854724169,0.8723421673167713,0.8383252198565578,0.8249531294119186,0.09341145833333334,0.38277485307679915,0.14962599817358052,0.05971603263085225,0.02431566578455423,1.9094791666666666,0.3544913074022785,0.1305250675336765,0.135,0.125,2.7205208333333335,2906
