N,c2_mean,c2_std,c2_exact,mean_p,mean_p_sq,mean_p2_F,inv_N,mean_n_accepted,acceptance_fraction
72,0.0001939473209843291,7.676933004247723e-05,0.0002170484738555204,0.6560949721924078,0.5315685710055134,0.375,0.013888888888888888,47.4036,0.6583833333333333
73,0.0003691247532998168,7.649997838937626e-05,0.00021097528098205397,0.656429752817683,0.5321155227176864,0.375,0.0136986301369863,48.0877625,0.6587364726027397
74,0.000280194818856712,7.475263259362866e-05,0.00020515349583929054,0.6564532032417898,0.532274202812748,0.375,0.013513513513513514,48.7214875,0.6583984797297298
75,0.00014975028264365293,7.352741781920167e-05,0.00019956942948395545,0.6565971659380044,0.5326525517843689,0.375,0.013333333333333334,49.3916125,0.6585548333333333
76,0.00021945702792346226,7.276220637462968e-05,0.0001942103122386724,0.65663568363231,0.5325658169864792,0.375,0.013157894736842105,50.0230125,0.6581975328947368
77,0.00030867612199577137,7.26879796823983e-05,0.00018906422058808783,0.6569074220343682,0.5331820025019115,0.375,0.012987012987012988,50.6947125,0.6583728896103896
78,9.837008550530227e-05,7.083703278187143e-05,0.00018412001076934228,0.6565960030201663,0.5326537692431043,0.375,0.01282051282051282,51.38155,0.6587378205128205
79,0.0001370761239966427,6.977318996636593e-05,0.0001793672583652733,0.6569084771115972,0.5331196771683904,0.375,0.012658227848101266,52.04245,0.6587651898734177
80,0.000122977059880991,6.92363839515395e-05,0.00017479620328810714,0.6570839172235846,0.5336218675163147,0.375,0.0125,52.6924875,0.65865609375
81,0.00023390551260858112,6.847591248333464e-05,0.00017039769961076418,0.6571935024810059,0.5336724230486823,0.375,0.012345679012345678,53.3578375,0.6587387345679012
82,0.0002299601138874152,6.736626899652349e-05,0.0001661631697636544,0.6570209448662777,0.5334890701689281,0.375,0.012195121951219513,54.0595875,0.659263262195122
83,8.514608607305283e-05,6.643746555314646e-05,0.00016208456266812198,0.6572595473180516,0.5338044447401913,0.375,0.012048192771084338,54.6955125,0.6589820783132531
84,0.00016175180866910929,6.561657380727347e-05,0.0001581543154245205,0.6573177843377382,0.5339473279725638,0.375,0.011904761904761904,55.3456,0.6588761904761904
85,0.00010685567279536692,6.455098063097746e-05,0.00015436531821411045,0.6573167246124823,0.5340260755202529,0.375,0.011764705882352941,56.001775,0.6588444117647059
86,1.0114545641402542e-05,6.376515937609955e-05,0.00015071088211029746,0.6575229887181,0.5343245523448577,0.375,0.011627906976744186,56.6613125,0.6588524709302326
87,8.348967777800681e-05,6.275880297206485e-05,0.00014718470952680378,0.6575242324666866,0.534412183257864,0.375,0.011494252873563218,57.336725,0.659042816091954
88,0.00011271169960150105,6.231481244756563e-05,0.00014378086705873268,0.6575658739375436,0.534547024255987,0.375,0.011363636363636364,57.97285,0.6587823863636364
89,0.00019812297511186401,6.186324001714598e-05,0.00014049376049760326,0.6575296028507339,0.5343938184036476,0.375,0.011235955056179775,58.68095,0.6593365168539326
90,0.0002704585184349125,6.144810814742134e-05,0.00013731811182371182,0.6577463181259525,0.534863798609316,0.375,0.011111111111111112,59.340175,0.6593352777777778
91,3.574080688123298e-05,5.992930408606956e-05,0.0001342489379989668,0.6577216236310351,0.5348671651038673,0.375,0.01098901098901099,59.9892125,0.6592221153846154
92,9.971447213064023e-05,5.975981997530538e-05,0.00013128153140094033,0.657633149634544,0.5347410785737263,0.375,0.010869565217391304,60.6494625,0.6592332880434782
93,0.00016527846410693643,5.940688528468133e-05,0.0001284114417545573,0.6578511869880899,0.5351518656107677,0.375,0.010752688172043012,61.32935,0.659455376344086
94,0.00017460640146288532,5.8656635291885323e-05,0.00012563445943182113,0.6578333579646453,0.5351426084228725,0.375,0.010638297872340425,61.959425,0.6591428191489362
95,8.606990523198442e-05,5.8249473299399324e-05,0.00012294660000245714,0.6579979902180263,0.5355009695346152,0.375,0.010526315789473684,62.6626,0.6596063157894737
96,7.014173649900059e-05,5.717540305355261e-05,0.0001203440899295174,0.657966879771803,0.5354649090256487,0.375,0.010416666666666666,63.3317125,0.6597053385416667
97,9.249840373416637e-05,5.679520505585172e-05,0.00011782335331398136,0.6581095111829401,0.5355829303124736,0.375,0.010309278350515464,63.9983125,0.6597764175257732
98,5.464772306336148e-05,5.5922217561107046e-05,0.00011538099960134198,0.6580635591925785,0.5355552124565292,0.375,0.01020408163265306,64.6465875,0.6596590561224489
99,7.277050504402863e-05,5.5254696422237874e-05,0.00011301381217120474,0.6580253319454177,0.5355290303340197,0.375,0.010101010101010102,65.2989,0.6595848484848486
100,0.0002223026132589947,5.51193471414384e-05,0.0001107187377381446,0.6581859609505515,0.5358042338709377,0.375,0.01,65.97115,0.6597114999999999
